管理No.,島CODE,島名,オアフ地区CODE,オアフ地区名,index,部屋CODE,部屋名,部屋タイプ,宿泊人数,最低宿泊数,1泊の金額,紹介文,料金について,description,keywords
oahu_lanikai_01,oahu,オアフ島,lanikai,ラニカイ地区,01,Ocean_Side,ラニカイオーシャンサイド,5ベッドルーム・4バスルーム, 最大10名,最低7泊,"345,000円～","ラニカイオーシャンサイドの邸宅は25,000平方フィートの敷地に建ち、4ベッドルームに最大10名様が宿泊可能です。ロケーションもすぐ目の前が海のオーシャンフロント。庭も広く、大人数でのバーベキューも楽しめます。 車で10分でカイルアタウンにはホールフーズマーケットやレストランなどがあり、食材の買い出しにも便利な邸宅です。 夜はワイキキでは経験できないラニカイビーチの潮騒、満点の星空が楽しめます。航空券、空港からの専用車、滞在中のシェフ、プライベートジェット等の手配もハワイアンスカイにて承ります。",,ラニカイオーシャンサイドはロケーションもすぐ目の前が海のオーシャンフロント,"邸宅,高級,貸別荘,オアフ島,ラニカイオーシャンサイド"
oahu_lanikai_02,oahu,オアフ島,lanikai,ラニカイ地区,02,Ocean_View_Vila,ラニカイオーシャンビューヴィラ,4ベッドルーム・3バスルーム,最大10名,最低7泊,"360,000円～",この邸宅はラニカイ地区の高台に有り、2階建てのヴィラタイプの邸宅です。スイミングプール、ジャグジーも有り、ラナイ/バルコニーからのラニカイビーチの眺めに癒されます。 朝日を眺めながらのラナイでの朝食、夕日を見ながらのカクテルタイム。日本での喧噪な時間を忘れて静かに過ごすには最高の邸宅です。セレブに人気の邸宅です。 航空券、プライベートジェット、滞在中のシェフ、空港からの専用リムジン等の手配もハワイアンスカイにて承ります。,,ラニカイオーシャンビューヴィラはラニカイ地区の高台に有る、2階建てのヴィラタイプの邸宅/高級貸別荘,"邸宅,高級,貸別荘,オアフ島,ラニカイオーシャンビュー"
oahu_kailua_01,oahu,オアフ島,kailua,カイルア地区,01,Hale_Kimo,ハレキモ,4ベッドルーム・3バスルーム,最大10名,最低7泊,"300,000円～",カイルアビーチから徒歩5分にある隠れ家的な邸宅です。 4ベッドルーム、3バスルーム、最大10名が宿泊可能。 プール、ジャグジー、プレイルームも有り、ファミリーでの利用に最適です。 車で5分のカイルアタウンにはホールフーズマーケットやレストランも有り、食材の買い出しにも便利なロケーション。 そして、天国に近いビーチで有名なラニカイビーチまで徒歩10分。 夏のご予約にもまだ間に合います。 ハワイアンスカイでは航空券、到着後の送迎の手配、現地でのオプショナルツアーの手配も承りますので、ご相談下さい。,,ハレキモはカイルアビーチから徒歩5分にある隠れ家的な邸宅,"邸宅,高級,貸別荘,オアフ島,ハレキモ"
oahu_kahala_01,oahu,オアフ島,kahala,カハラ地区,01,Kahala_Mini,カハラミニリゾート,7ベッドルーム・7.5バスルーム,最大14名,最低3泊,"590,000円～",オアフ島で有名なカハラ地区に有るセレブに人気の邸宅です。オーシャンフロントでプール、ジャグジーも有り、ウエディング、大人数でのパーティーにもご利用できます。 7ベッドルーム、7バスルームで最大14名様の宿泊が可能ですので社員旅行にもお勧めです。 カハラモールまで車で10分、ホールフーズマーケットやレストランも有り、食材の買い出し、ショツピングにも便利なロケーション。 ハワイアンスカイでは航空券の手配、到着後の専用車での送迎、ケータリング、バンケット、専用のシェフ、プライベートジェットの手配も承ります。 お気軽に相談下さい。,,カハラミニリゾートはオアフ島で有名なカハラ地区に有るセレブに人気の邸宅,"邸宅,高級,貸別荘,オアフ島,カハラミニリゾート"
oahu_kahala_02,oahu,オアフ島,kahala,カハラ地区,02,Haidauey,カハラハイダァウエイ,2ベッドルーム・2.5バスルーム,最大6名,最低7泊,"220,000円～",カハラビーチ、ワイアラエビーチパークから徒歩3分のロケーション。 プライベートプール、専用テニスコートも有る邸宅です。 朝、夕方のカハラビーチでの散策は癒しに最適です。 カハラモールまで車で10分、ホールフーズマーケットやレストランも有り、ショツピングにも便利な場所にロケーションです。,,カハラハイダァウエイはプライベートプール、専用テニスコートも有る邸宅,"邸宅,高級,貸別荘,オアフ島,カハラハイダァウエイ"
oahu_kahala_03,oahu,オアフ島,kahala,カハラ地区,03,Pame_Tree,パームツリー エステート,7ベッドルーム・7バスルーム,最大16名,最低7泊,"360,000円～",目の前が海の絶景ロケーションです。2階のラナイ・バルコニーからの見る朝日や夕日だけでも泊まる価値有り。 最大16名様が宿泊可能なので、社員旅行、家族旅行にお勧めです。 カハラモールまで車で10分、ホールフーズマーケットやレストランも有り、ショツピングにも便利な邸宅です。,,パームツリーエステートは2階のラナイ・バルコニーからの見る朝日や夕日だけでも泊まる価値有り,"邸宅,高級,貸別荘,オアフ島,パームツリー"
oahu_hawaii_kai_01,oahu,オアフ島,hawaii_kai,ハワイカイ地区,01,Paiko_Lagoon,パイコ ラグーン リトリート,7ベッドルーム・5バスルーム,最大24名,最低7泊,"520,000円～",パイコラグーンに面した2階建てで、入口が熱帯植物園を思わせるミニリゾートホテル風の邸宅です。 プライベートプール、ジャグジーも有り、社員旅行、セミナーにも利用可能です。18名で宿泊された方々からは「入口から、圧倒され、余りにも広い庭に驚いた」とのコメントが届いております。 皆様からのコメントをハワイアンスカイのホームページに掲載いたしますので、ぜひ、ご宿泊されてコメントをお寄せ下さい。,,パイコラグーンリトリートは入口が熱帯植物園を思わせるミニリゾートホテル風の邸宅,"邸宅,高級,貸別荘,オアフ島,パイコラグーン"
oahu_hawaii_kai_02,oahu,オアフ島,hawaii_kai,ハワイカイ地区,02,Makani_Lani,マカニ ラニ,5ベッドルーム・3.5バスルーム,最大12名,最低7泊,"380,000円～",ハワイカイの高台に立つ2階建ての邸宅です。 広々としたリビングスペースから見るココクレーターや太平洋は絶景です。 キングサイズベッドの寝室からも素晴らしい景色を堪能できます。 また、緑豊かなヤシの木に囲まれた屋外プールではバーベキューも楽しめます。 近所には多くのレストランやセーフウエイなどがあるハワイカイ ショッピングセンターやココ・マリーナ・センターがあり便利です。 ,,マカニラニはハワイカイの高台に立つ2階建ての邸宅,"邸宅,高級,貸別荘,オアフ島,マカニラニ"
oahu_north_shore_01,oahu,オアフ島,north_shore,ノースショア地区,01,Pipeline,パイプライン ハウス,3ベッドルーム、3.5バスルーム,最大6名,最低7泊,"220,000円～",ノースショアのバンザイパイプライビーチフロントに有る隠れ家的な3ベッドルームヴィラです。 ラナイから眺めるパイプラインはサーファーズパラダイス。 食事や買い物はは近所のハレイワタウンで。 冬にはパワフルなサーフィンとビッグウェーブを楽しめます。 ,,パイプラインハウスはノースショアのバンザイパイプライビーチフロントに有る隠れ家的な3ベッドルームヴィラ,"邸宅,高級,貸別荘,オアフ島,パイプライン"
hawaii_01,hawaii,ハワイ島,,フォーシーズンズ地区,01,Golf_Vila,3ベッドゴルフ ヴィラ アット フォーシーズンズ リゾート フアラライ,3ベッドルーム、3.5バスルーム,最大6名,最低5泊,"235,000円～",ジャック・ニクラウス設計のフアラライゴルフコースに隣接したフォーシーズンズリゾートのヴィラタイプの2階建てコテージです。 ゴルフ好きの方にお勧めのコテージ。コンシェルジュサービスも有り、フォーシーズンズ ホテル並みのサービスが提供されます。 フィットネスルーム、スイミングプールもあり、家族での滞在にもお勧めです。,"人数に関わらず1室あたりの料金です。                                                                               別途14.962%(州税4.712%+宿泊税10.25%)の税金とクリーニング費用を頂戴いたします。 また、リゾートフィーは現地ヴィラにてお支払いください。
税金が改定される場合もございますので、予めご了承ください。
お問い合わせの際に、空室状況、宿泊料金、取消料等の条件をご案内させて頂きます。",3ベッドゴルフヴィラアットフォーシーズンズリゾートフアラライはジャック・ニクラウス設計のフアラライゴルフコースに隣接したフォーシーズンズリゾートのヴィラタイプの2階建てコテージ,"邸宅,高級,貸別荘,ハワイ島,フォーシーズンズ"
